epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2371.15,0.49806,0.74068,0.89727,0.90141,0.86887,0.93672,0.84877,0.40061,0.46852,0.85135,0.000151602,0.000151602,0.000151602
2,4711.11,0.51459,0.49858,0.90267,0.92472,0.93446,0.97162,0.90195,0.35509,0.32977,0.83456,0.000288257,0.000288257,0.000288257
3,7046.8,0.49651,0.44213,0.89362,0.97034,0.95069,0.98516,0.92442,0.32894,0.2896,0.82648,0.000409897,0.000409897,0.000409897
4,9386.79,0.47186,0.3959,0.88354,0.97476,0.97559,0.99098,0.93664,0.31324,0.23963,0.82251,0.000387433,0.000387433,0.000387433
5,11713.8,0.44535,0.34824,0.87455,0.98308,0.98136,0.99306,0.94804,0.29368,0.21413,0.8126,0.00036491,0.00036491,0.00036491
6,14042,0.42228,0.31586,0.86313,0.98762,0.98948,0.99384,0.9547,0.28589,0.19342,0.80877,0.000342387,0.000342387,0.000342387
